id,shop_name,URL,rate,rocation,comment,smoking
152,リエコーヒー 本店,https://tabelog.com/tokyo/A1304/A130401/13086991/,3.2, 西新宿駅 258m / コーヒー専門店、喫茶店、ケーキ,,分煙
153,ドトールコーヒーショップ 東日本橋店,https://tabelog.com/tokyo/A1302/A130204/13168400/,3.03, 東日本橋駅 26m / カフェ、喫茶店、コーヒー専門店,,分煙
154,とぽす,https://tabelog.com/tokyo/A1312/A131205/13088230/,, 江戸川区 / 喫茶店,,
155,ラドリオ,https://tabelog.com/tokyo/A1310/A131003/13006555/,3.53, 神保町駅 143m / 喫茶店、バー、カフェ,,喫煙可
156,エール,https://tabelog.com/tokyo/A1324/A132401/13087417/,, 三ノ輪駅 565m / 喫茶店,,
157,さんぼる,https://tabelog.com/tokyo/A1314/A131401/13162245/,3.08, 日の出駅 395m / 喫茶店,,喫煙可
158,スパゲティ 心,https://tabelog.com/tokyo/A1302/A130204/13056750/,3.54, 人形町駅 272m / パスタ、イタリアン、喫茶店,,分煙
159,ステラ,https://tabelog.com/tokyo/A1311/A131103/13235760/,3.02, 蔵前駅 347m / カフェ、喫茶店,,
160,宮越屋珈琲 東京新橋店,https://tabelog.com/tokyo/A1301/A130103/13030119/,3.34, 新橋駅 244m / 喫茶店、コーヒー専門店,,喫煙可
161,ティータイム,https://tabelog.com/tokyo/A1310/A131002/13188583/,3.1, 神田駅 197m / レストラン（その他）、カフェ、喫茶店,,分煙
162,銀座みもざ館カフェ,https://tabelog.com/tokyo/A1301/A130101/13180936/,3.2, 東銀座駅 218m / カフェ、喫茶店、パン・サンドイッチ（その他）,,完全禁煙
163,コーヒーショップ キャンディ,https://tabelog.com/tokyo/A1316/A131602/13107619/,3.13, 白金高輪駅 596m / 喫茶店,,
164,紫碧,https://tabelog.com/tokyo/A1324/A132404/13089250/,3, 大師前駅 423m / 喫茶店,,
165,カフェロッビア,https://tabelog.com/tokyo/A1317/A131710/13221117/,3.09, 西小山駅 173m / 喫茶店,,完全禁煙
166,ドトールコーヒーショップ 外神田1丁目店,https://tabelog.com/tokyo/A1310/A131001/13041542/,3.04, 秋葉原駅 380m / コーヒー専門店、喫茶店、カフェ・喫茶（その他）,,分煙
167,水色,https://tabelog.com/tokyo/A1317/A131716/13089310/,, 武蔵新田駅 127m / 喫茶店,,
